"","pdb","N_queries"
"1","12E8",346
"2","15C8",496
"3","1A03",366
"4","1A0A",208
"5","1A0J",272
"6","1A0L",271
"7","1A0N",454
"8","1A0Q",229
"9","1A0R",895
"10","1A14",324
"11","1A17",382
"12","1A22",243
"13","1A25",333
"14","1A27",220
"15","1A2K",626
"16","1A2X",533
"17","1A4P",351
"18","1A4R",587
"19","1A4Y",512
"20","1A5F",466
"21","1A68",324
"22","1A6A",207
"23","1A6U",263
"24","1A7N",580
"25","1A7O",541
"26","1A7P",577
"27","1A7Q",429
"28","1A88",240
"29","1A9N",1148
"30","1ABI",279
"31","1ABO",402
"32","1ACY",858
"33","1AD0",1049
"34","1AD9",588
"35","1ADQ",1216
"36","1AE6",269
"37","1AFQ",223
"38","1AFV",365
"39","1AGP",652
"40","1AHI",235
"41","1AHW",744
"42","1AIP",314
"43","1AJ5",411
"44","1AKH",374
"45","1AKS",263
"46","1ALW",400
"47","1AM4",761
"48","1AM9",208
"49","1AMH",270
"50","1AN1",268
"51","1AN2",233
"52","1AN4",209
"53","1ANB",238
"54","1ANC",239
"55","1AND",239
"56","1AO5",273
"57","1AO7",220
"58","1AOJ",363
"59","1AP2",507
"60","1APM",939
"61","1AQD",207
"62","1AQK",688
"63","1AR1",757
"64","1AUT",600
"65","1AV1",250
"66","1AVZ",454
"67","1AWC",634
"68","1AXI",265
"69","1AXS",761
"70","1AY1",236
"71","1AZE",437
"72","1AZG",443
"73","1AZS",261
"74","1AZZ",276
"75","1B07",449
"76","1B2W",1230
"77","1B4J",1023
"78","1B55",499
"79","1B6D",800
"80","1B72",375
"81","1B7X",271
"82","1B8I",375
"83","1B8Q",382
"84","1BB9",388
"85","1BBD",255
"86","1BBJ",788
"87","1BBR",277
"88","1BBZ",403
"89","1BDB",224
"90","1BE9",395
"91","1BEY",738
"92","1BFO",410
"93","1BHX",269
"94","1BI7",574
"95","1BI8",1632
"96","1BIH",641
"97","1BII",208
"98","1BJ1",1035
"99","1BJF",517
"100","1BK5",207
"101","1BK6",216
"102","1BL8",238
"103","1BLN",319
"104","1BLX",588
"105","1BML",275
"106","1BOG",496
"107","1BP3",270
"108","1BQU",331
"109","1BQY",248
"110","1BR1",566
"111","1BRB",325
"112","1BRE",398
"113","1BRO",238
"114","1BRT",237
"115","1BTH",274
"116","1BTK",478
"117","1BTN",525
"118","1BU1",448
"119","1BU3",399
"120","1BUI",272
"121","1BUO",355
"122","1BVK",554
"123","1BWN",504
"124","1BWW",308
"125","1BX2",211
"126","1BYU",431
"127","1BZX",274
"128","1C08",405
"129","1C12",258
"130","1C1G",1696
"131","1C1Y",641
"132","1C4X",240
"133","1C4Z",209
"134","1C5B",274
"135","1C5D",269
"136","1C5M",273
"137","1CC0",678
"138","1CD0",272
"139","1CDI",233
"140","1CDK",1115
"141","1CDL",496
"142","1CDM",499
"143","1CE1",734
"144","1CE6",216
"145","1CEE",661
"146","1CF4",654
"147","1CFP",442
"148","1CFS",469
"149","1CFV",207
"150","1CIC",1142
"151","1CJK",255
"152","1CK0",737
"153","1CKA",449
"154","1CL7",240
"155","1CLO",364
"156","1CLY",208
"157","1CM1",495
"158","1CMK",1125
"159","1CN4",262
"160","1CO7",320
"161","1CQE",313
"162","1CQZ",280
"163","1CS4",259
"164","1CS6",694
"165","1CT8",335
"166","1CTP",1002
"167","1CUL",255
"168","1CUN",236
"169","1CVS",795
"170","1CVU",327
"171","1CXZ",692
"172","1CYD",210
"173","1CZ8",958
"174","1D2G",225
"175","1D2N",239
"176","1D5B",802
"177","1D5G",376
"178","1D5I",964
"179","1D6W",251
"180","1D7M",508
"181","1D9I",251
"182","1D9K",232
"183","1DAN",745
"184","1DCE",500
"185","1DCL",518
"186","1DDX",325
"187","1DEE",1105
"188","1DF0",456
"189","1DFB",785
"190","1DFK",507
"191","1DJS",690
"192","1DLE",271
"193","1DLH",208
"194","1DLK",276
"195","1DM4",276
"196","1DO2",472
"197","1DOA",638
"198","1DOH",290
"199","1DQD",202
"200","1DQJ",884
"201","1DQL",698
"202","1DS6",646
"203","1DSU",270
"204","1DSX",330
"205","1DVA",307
"206","1DVF",482
"207","1DVI",411
"208","1DVP",273
"209","1DWQ",210
"210","1DX5",640
"211","1DXX",207
"212","1DYN",506
"213","1DZB",655
"214","1E0O",701
"215","1E32",509
"216","1E3J",256
"217","1E3S",208
"218","1E3W",208
"219","1E4K",389
"220","1E4W",519
"221","1E4X",312
"222","1E6J",314
"223","1E6O",217
"224","1E6W",207
"225","1E8A",379
"226","1E96",1011
"227","1E9H",1365
"228","1E9R",271
"229","1EAI",297
"230","1EAW",271
"231","1EB8",202
"232","1EBA",249
"233","1EBP",249
"234","1EDH",239
"235","1EDM",384
"236","1EE4",219
"237","1EE5",220
"238","1EEQ",270
"239","1EER",270
"240","1EES",670
"241","1EEU",226
"242","1EFN",455
"243","1EFX",308
"244","1EGA",626
"245","1EGJ",858
"246","1EI3",248
"247","1EJL",212
"248","1EJO",717
"249","1EK3",277
"250","1EKB",269
"251","1ELR",374
"252","1ELW",354
"253","1EMT",376
"254","1EOJ",269
"255","1EPF",634
"256","1EPT",272
"257","1EQ9",271
"258","1EQU",219
"259","1ERN",262
"260","1ES0",229
"261","1ETZ",248
"262","1EV2",714
"263","1EVT",785
"264","1EWQ",253
"265","1EXB",383
"266","1EZQ",593
"267","1EZS",277
"268","1F11",1086
"269","1F2I",1160
"270","1F2T",259
"271","1F3D",224
"272","1F3J",235
"273","1F3M",1263
"274","1F3O",207
"275","1F3R",508
"276","1F4O",398
"277","1F4W",464
"278","1F4Y",315
"279","1F58",696
"280","1F5R",276
"281","1F6A",468
"282","1F6B",576
"283","1F6F",302
"284","1F6L",566
"285","1F6M",247
"286","1F7Z",275
"287","1F8H",390
"288","1F8W",310
"289","1FAI",335
"290","1FAX",574
"291","1FBI",422
"292","1FBV",587
"293","1FCG",371
"294","1FCH",357
"295","1FDL",1040
"296","1FDS",219
"297","1FDU",219
"298","1FDW",219
"299","1FE8",437
"300","1FF1",388
"301","1FF5",239
"302","1FGK",335
"303","1FGV",741
"304","1FH5",917
"305","1FI8",262
"306","1FIN",1380
"307","1FIW",276
"308","1FIZ",273
"309","1FJ1",358
"310","1FJL",381
"311","1FJS",446
"312","1FL6",257
"313","1FLR",221
"314","1FMO",1006
"315","1FN4",630
"316","1FNE",210
"317","1FNS",907
"318","1FO0",247
"319","1FO1",441
"320","1FOE",822
"321","1FON",274
"322","1FOR",202
"323","1FQ3",252
"324","1FQJ",226
"325","1FQV",246
"326","1FRG",536
"327","1FRT",244
"328","1FS2",533
"329","1FSE",256
"330","1FSK",932
"331","1FUJ",270
"332","1FUU",229
"333","1FVC",741
"334","1FVD",1164
"335","1FVE",222
"336","1FW6",253
"337","1FXY",255
"338","1FY8",275
"339","1FYN",453
"340","1G0Y",335
"341","1G29",593
"342","1G2L",314
"343","1G3I",513
"344","1G3J",204
"345","1G4A",513
"346","1G4U",653
"347","1G6O",607
"348","1G6Q",245
"349","1G7H",608
"350","1G7I",613
"351","1G7J",627
"352","1G7L",623
"353","1G7M",606
"354","1G9M",642
"355","1G9U",497
"356","1GAF",241
"357","1GC1",777
"358","1GCJ",218
"359","1GCQ",455
"360","1GEG",220
"361","1GG2",936
"362","1GGB",755
"363","1GGI",746
"364","1GH7",276
"365","1GI8",270
"366","1GIG",337
"367","1GJ5",275
"368","1GJ7",272
"369","1GJO",361
"370","1GJY",422
"371","1GL4",601
"372","1GL6",272
"373","1GMJ",220
"374","1GNG",210
"375","1GO4",247
"376","1GOT",961
"377","1GRI",598
"378","1GRN",800
"379","1GUA",605
"380","1GVN",242
"381","1GXR",671
"382","1GZ6",206
"383","1GZS",592
"384","1H0D",380
"385","1H1P",1247
"386","1H1W",773
"387","1H2T",795
"388","1H3H",453
"389","1H3P",451
"390","1H4L",1025
"391","1H5Q",201
"392","1H65",286
"393","1H6K",388
"394","1H6U",483
"395","1H8D",276
"396","1H8F",340
"397","1H8I",276
"398","1H9H",209
"399","1HAG",251
"400","1HCG",444
"401","1HCI",290
"402","1HDM",228
"403","1HE1",664
"404","1HEI",203
"405","1HEZ",1060
"406","1HF0",357
"407","1HH4",625
"408","1HHG",205
"409","1HIL",528
"410","1HKH",251
"411","1HL6",743
"412","1HLO",217
"413","1HNE",262
"414","1HQV",445
"415","1HSA",223
"416","1HT5",306
"417","1HT9",410
"418","1HUR",574
"419","1HV2",217
"420","1HV8",294
"421","1HWG",265
"422","1HXY",213
"423","1HYL",275
"424","1HYR",319
"425","1HYS",291
"426","1I01",220
"427","1I1R",340
"428","1I3G",390
"429","1I3Q",240
"430","1I4D",588
"431","1I4T",618
"432","1I7X",240
"433","1I7Z",595
"434","1I8M",1046
"435","1I9R",960
"436","1IAI",420
"437","1IAK",245
"438","1IAO",230
"439","1IAR",226
"440","1IBG",705
"441","1ID5",279
"442","1IEA",210
"443","1IEB",202
"444","1IFH",709
"445","1IGC",1012
"446","1IGF",205
"447","1IGM",511
"448","1IGT",1220
"449","1IGY",604
"450","1IHB",578
"451","1IHJ",384
"452","1II4",760
"453","1II8",247
"454","1IIL",700
"455","1IKF",399
"456","1IKN",661
"457","1IL1",426
"458","1IM2",390
"459","1IM9",325
"460","1IND",327
"461","1IO6",455
"462","1IOD",205
"463","1IOE",314
"464","1IOL",219
"465","1IQ5",495
"466","1IQD",735
"467","1IQP",431
"468","1IQW",1136
"469","1IR3",321
"470","1IRA",331
"471","1IRJ",419
"472","1IT9",913
"473","1ITB",344
"474","1IVL",555
"475","1IVO",274
"476","1IW7",215
"477","1IXR",332
"478","1IXS",318
"479","1J05",290
"480","1J1O",405
"481","1J1P",367
"482","1J1X",385
"483","1J2E",213
"484","1J2J",568
"485","1J55",386
"486","1J95",237
"487","1J9C",456
"488","1JAD",263
"489","1JAH",689
"490","1JBP",1002
"491","1JEG",424
"492","1JEQ",209
"493","1JFQ",605
"494","1JGL",1161
"495","1JHL",434
"496","1JK8",266
"497","1JL4",429
"498","1JM7",629
"499","1JMT",693
"500","1JN6",319
"501","1JNH",307
"502","1JNL",1075
"503","1JOC",280
"504","1JOU",274
"505","1JOW",1124
"506","1JP5",280
"507","1JPS",993
"508","1JQQ",412
"509","1JR3",352
"510","1JST",1407
"511","1JU5",542
"512","1JUO",426
"513","1JV2",447
"514","1JV5",284
"515","1JVK",315
"516","1JVM",237
"517","1JWI",203
"518","1K2D",219
"519","1K2H",423
"520","1K2P",308
"521","1K2W",212
"522","1K3A",245
"523","1K3Z",651
"524","1K4D",820
"525","1K4U",432
"526","1K5D",529
"527","1K6Q",698
"528","1K8I",235
"529","1K8K",969
"530","1K8U",339
"531","1K93",493
"532","1K96",372
"533","1K9O",350
"534","1K9U",483
"535","1KB5",1136
"536","1KCG",218
"537","1KCR",646
"538","1KCS",418
"539","1KCU",854
"540","1KDQ",269
"541","1KFX",464
"542","1KI1",207
"543","1KIG",400
"544","1KIP",617
"545","1KIR",603
"546","1KJ2",414
"547","1KJM",204
"548","1KJV",204
"549","1KJY",248
"550","1KK8",459
"551","1KNO",366
"552","1KNQ",218
"553","1KO4",208
"554","1KOA",516
"555","1KSG",609
"556","1KSH",609
"557","1KSJ",514
"558","1KSO",248
"559","1KT2",213
"560","1KTD",213
"561","1KZ7",1140
"562","1KZG",532
"563","1L2T",423
"564","1L3R",954
"565","1L4D",262
"566","1L4Z",260
"567","1L6O",366
"568","1L7I",1098
"569","1L8D",656
"570","1LB1",1185
"571","1LDJ",548
"572","1LE8",376
"573","1LEW",753
"574","1LFB",372
"575","1LFD",592
"576","1LIL",493
"577","1LK3",877
"578","1LLD",232
"579","1LLM",1148
"580","1LMW",264
"581","1LNQ",251
"582","1LNU",227
"583","1LTO",270
"584","1LTX",521
"585","1LVE",244
"586","1M10",662
"587","1M1J",349
"588","1M27",453
"589","1M2O",708
"590","1M31",338
"591","1M46",420
"592","1M5K",667
"593","1M5N",258
"594","1M71",281
"595","1MAM",520
"596","1MCB",526
"597","1MCO",407
"598","1MCP",593
"599","1MCT",279
"600","1MCW",535
"601","1MDY",205
"602","1MEX",427
"603","1MF2",309
"604","1MF8",548
"605","1MFB",395
"606","1MFE",367
"607","1MFG",383
"608","1MG2",223
"609","1MH5",318
"610","1MHH",325
"611","1MHO",443
"612","1MHP",1314
"613","1MI5",337
"614","1MJ8",250
"615","1MJJ",255
"616","1MLB",990
"617","1MNM",301
"618","1MOE",421
"619","1MOX",212
"620","1MQ1",434
"621","1MQ5",445
"622","1MR8",369
"623","1MRC",229
"624","1MTN",273
"625","1MUJ",233
"626","1MV5",231
"627","1MVU",512
"628","1MXL",474
"629","1N0Q",588
"630","1N1M",217
"631","1N26",307
"632","1N4X",201
"633","1N52",219
"634","1N5Y",495
"635","1N64",327
"636","1N6D",207
"637","1N7M",390
"638","1N8Z",1223
"639","1N99",376
"640","1NAM",201
"641","1NBQ",642
"642","1NC2",310
"643","1NCA",484
"644","1NCH",241
"645","1NE2",214
"646","1NEX",259
"647","1NF3",984
"648","1NFU",358
"649","1NGQ",565
"650","1NGX",380
"651","1NGY",357
"652","1NIW",471
"653","1NJ9",465
"654","1NKN",408
"655","1NKP",288
"656","1NL0",1081
"657","1NLW",261
"658","1NM6",251
"659","1NMA",243
"660","1NMB",426
"661","1NMC",346
"662","1NN7",334
"663","1NNE",246
"664","1NP8",408
"665","1NPQ",493
"666","1NQB",572
"667","1NSF",240
"668","1NSH",428
"669","1NSN",704
"670","1NT0",463
"671","1NT2",548
"672","1NU9",289
"673","1NUN",662
"674","1NVV",560
"675","1NY5",260
"676","1NY6",223
"677","1NZI",455
"678","1O0P",702
"679","1O54",218
"680","1O5A",274
"681","1O5D",489
"682","1O5E",277
"683","1O5I",218
"684","1O6K",992
"685","1O6L",984
"686","1O6S",731
"687","1O9U",363
"688","1OAK",906
"689","1OAQ",267
"690","1OAR",258
"691","1OAX",238
"692","1OBY",327
"693","1OBZ",381
"694","1ODB",387
"695","1OE9",521
"696","1OEB",453
"697","1OFH",463
"698","1OGU",1360
"699","1OHH",208
"700","1OHZ",247
"701","1OIV",750
"702","1OJL",214
"703","1OL5",928
"704","1OM3",341
"705","1OMW",543
"706","1OO0",739
"707","1OOK",481
"708","1OP8",252
"709","1OPG",855
"710","1OPH",266
"711","1OPI",700
"712","1OQP",494
"713","1ORF",252
"714","1ORQ",368
"715","1OTS",395
"716","1OV3",410
"717","1OW3",841
"718","1OY3",597
"719","1OZO",378
"720","1OZS",475
"721","1P0S",325
"722","1P22",959
"723","1P27",733
"724","1P2C",670
"725","1P4L",320
"726","1P5Q",392
"727","1P7B",252
"728","1P8V",494
"729","1P9M",361
"730","1PDR",375
"731","1PEW",222
"732","1PFQ",217
"733","1PFX",551
"734","1PG7",1112
"735","1PGE",312
"736","1PGU",755
"737","1PKQ",783
"738","1PLG",244
"739","1PON",424
"740","1PPF",263
"741","1PPG",263
"742","1PRH",306
"743","1PRL",453
"744","1PSB",441
"745","1PTH",312
"746","1PUF",376
"747","1PVH",214
"748","1PW9",250
"749","1PXX",326
"750","1PYT",354
"751","1PYX",342
"752","1Q0X",401
"753","1Q12",729
"754","1Q1B",209
"755","1Q1J",379
"756","1Q1S",212
"757","1Q24",998
"758","1Q3D",351
"759","1Q3O",376
"760","1Q5K",350
"761","1Q61",1103
"762","1Q7C",220
"763","1Q8W",939
"764","1Q9K",374
"765","1Q9O",364
"766","1QAV",386
"767","1QBK",897
"768","1QBL",253
"769","1QBM",254
"770","1QDV",328
"771","1QDW",328
"772","1QFK",293
"773","1QFW",695
"774","1QGE",234
"775","1QGK",246
"776","1QKZ",316
"777","1QLE",686
"778","1QLR",463
"779","1QLS",432
"780","1QMZ",1414
"781","1QNZ",587
"782","1QO3",382
"783","1QP1",381
"784","1QQD",211
"785","1QRN",303
"786","1QS7",496
"787","1QSF",218
"788","1QTX",498
"789","1QUR",275
"790","1QVR",1542
"791","1QWE",451
"792","1QZ1",813
"793","1QZ2",386
"794","1R05",323
"795","1R0E",369
"796","1R28",354
"797","1R4A",628
"798","1R5V",210
"799","1R74",219
"800","1R7R",545
"801","1R8X",216
"802","1R9M",213
"803","1R9N",216
"804","1RD3",272
"805","1RDQ",829
"806","1RE0",617
"807","1REI",244
"808","1RFN",405
"809","1RGR",378
"810","1RIH",692
"811","1RJ9",607
"812","1RJL",839
"813","1RJW",204
"814","1RMD",534
"815","1RQQ",502
"816","1RRG",574
"817","1RRP",753
"818","1RTF",274
"819","1RY7",752
"820","1RZ7",1144
"821","1RZ8",679
"822","1RZF",249
"823","1RZG",777
"824","1RZI",960
"825","1RZX",380
"826","1S1C",622
"827","1S1G",355
"828","1S1Q",269
"829","1S3K",521
"830","1S5H",228
"831","1S6C",504
"832","1S70",663
"833","1S72",201
"834","1S78",251
"835","1S7Q",201
"836","1S8O",283
"837","1S9V",228
"838","1SA0",333
"839","1SBS",597
"840","1SCI",212
"841","1SCM",539
"842","1SEB",207
"843","1SEM",455
"844","1SEQ",455
"845","1SFQ",271
"846","1SGF",285
"847","1SHF",452
"848","1SHY",342
"849","1SKY",248
"850","1SLW",275
"851","1SLX",277
"852","1SM3",596
"853","1SMH",972
"854","1SO8",264
"855","1SQ0",673
"856","1STC",931
"857","1SVH",928
"858","1SVX",594
"859","1SW6",588
"860","1SXJ",752
"861","1SY6",410
"862","1SYM",436
"863","1SZB",479
